User,PID,CPU,Memory,VSZ,RSS,TTY,STAT,Start,Time,Command
avahi,783,0.0,0.0,8536,3380,?,Ss,10:26,0:01,avahi-daemon:
atik,1844,0.0,0.0,19896,10444,?,Ss,10:29,0:00,/lib/systemd/systemd
atik,1845,0.0,0.0,170040,3780,?,S,10:29,0:00,(sd-pam)
atik,1850,0.7,0.1,3393040,23484,?,S<sl,10:29,0:44,/usr/bin/pulseaudio
atik,1852,0.1,0.2,598964,33044,?,SNsl,10:29,0:08,/usr/libexec/tracker-miner-fs
atik,1855,0.0,0.0,8624,5644,?,Ss,10:29,0:02,/usr/bin/dbus-daemon
atik,1858,0.0,0.0,396772,8120,?,Sl,10:29,0:00,/usr/bin/gnome-keyring-daemon
atik,1863,0.0,0.0,248776,7908,?,Ssl,10:29,0:00,/usr/libexec/gvfsd
atik,1868,0.0,0.0,382068,8248,?,Sl,10:29,0:00,/usr/libexec/gvfsd-fuse
atik,1887,0.0,0.1,326544,12016,?,Ssl,10:29,0:00,/usr/libexec/gvfs-udisks2-volume-monitor
atik,1896,0.0,0.0,247088,7340,?,Ssl,10:29,0:00,/usr/libexec/gvfs-gphoto2-volume-monitor
atik,1901,0.0,0.0,244852,6260,?,Ssl,10:29,0:00,/usr/libexec/gvfs-goa-volume-monitor
atik,1905,0.0,0.2,562400,34832,?,Sl,10:29,0:00,/usr/libexec/goa-daemon
atik,1913,0.0,0.0,327584,11392,?,Sl,10:29,0:00,/usr/libexec/goa-identity-service
atik,1919,0.0,0.0,172992,6676,tty2,Ssl+,10:29,0:00,/usr/lib/gdm3/gdm-x-session
atik,1922,5.2,0.9,647240,117404,tty2,Sl+,10:29,5:30,/usr/lib/xorg/Xorg
atik,1923,0.0,0.0,244680,5828,?,Ssl,10:29,0:00,/usr/libexec/gvfs-mtp-volume-monitor
atik,1927,0.0,0.0,325700,8748,?,Ssl,10:29,0:00,/usr/libexec/gvfs-afc-volume-monitor
atik,1950,0.0,0.1,199572,15676,tty2,Sl+,10:29,0:00,/usr/libexec/gnome-session-binary
atik,2018,0.0,0.0,6044,452,?,Ss,10:29,0:00,/usr/bin/ssh-agent
atik,2038,0.0,0.0,309776,9536,?,Ssl,10:29,0:00,/usr/libexec/at-spi-bus-launcher
atik,2043,0.0,0.0,7388,4188,?,S,10:29,0:00,/usr/bin/dbus-daemon
atik,2049,0.0,0.0,99036,4184,?,Ssl,10:29,0:00,/usr/libexec/gnome-session-ctl
atik,2056,0.0,0.1,495600,17260,?,Ssl,10:29,0:00,/usr/libexec/gnome-session-binary
atik,2070,7.0,2.5,4635844,304980,?,Ssl,10:29,7:22,/usr/bin/gnome-shell
atik,2092,0.0,0.0,323692,10452,?,Sl,10:29,0:00,ibus-daemon
atik,2096,0.0,0.0,249360,9256,?,Sl,10:29,0:00,/usr/libexec/ibus-dconf
atik,2097,0.0,0.2,284168,30372,?,Sl,10:29,0:02,/usr/libexec/ibus-extension-gtk3
atik,2099,0.0,0.2,204980,25532,?,Sl,10:29,0:00,/usr/libexec/ibus-x11
atik,2104,0.0,0.0,249332,9136,?,Sl,10:29,0:00,/usr/libexec/ibus-portal
atik,2114,0.0,0.0,162840,7644,?,Sl,10:29,0:02,/usr/libexec/at-spi2-registryd
atik,2118,0.0,0.0,244572,4648,?,Ssl,10:29,0:00,/usr/libexec/xdg-permission-store
atik,2123,0.0,0.1,581644,19624,?,Sl,10:29,0:00,/usr/libexec/gnome-shell-calendar-server
atik,2129,0.0,0.2,1079392,26552,?,Ssl,10:29,0:00,/usr/libexec/evolution-source-registry
atik,2139,0.0,0.2,864204,30360,?,Ssl,10:29,0:00,/usr/libexec/evolution-calendar-factory
atik,2144,0.0,0.0,156468,5836,?,Sl,10:29,0:00,/usr/libexec/dconf-service
atik,2157,0.0,0.2,682328,29488,?,Ssl,10:29,0:00,/usr/libexec/evolution-addressbook-factory
atik,2173,0.0,0.2,2742900,27200,?,Sl,10:29,0:00,/usr/bin/gjs
atik,2176,0.0,0.0,326660,10952,?,Sl,10:29,0:00,/usr/libexec/gvfsd-trash
atik,2192,0.0,0.0,322912,9140,?,Ssl,10:29,0:00,/usr/libexec/gsd-a11y-settings
atik,2193,0.0,0.2,661248,28780,?,Ssl,10:29,0:00,/usr/libexec/gsd-color
atik,2194,0.0,0.1,383352,17416,?,Ssl,10:29,0:00,/usr/libexec/gsd-datetime
atik,2195,0.0,0.0,323664,10168,?,Ssl,10:29,0:00,/usr/libexec/gsd-housekeeping
atik,2201,0.0,0.2,353024,26400,?,Ssl,10:29,0:00,/usr/libexec/gsd-keyboard
atik,2202,0.0,0.2,908208,29004,?,Ssl,10:29,0:00,/usr/libexec/gsd-media-keys
atik,2203,0.0,0.2,427172,27192,?,Ssl,10:29,0:00,/usr/libexec/gsd-power
atik,2204,0.0,0.0,257192,11164,?,Ssl,10:29,0:00,/usr/libexec/gsd-print-notifications
atik,2205,0.0,0.0,466076,6160,?,Ssl,10:29,0:00,/usr/libexec/gsd-rfkill
atik,2209,0.0,0.0,244616,5924,?,Ssl,10:29,0:00,/usr/libexec/gsd-screensaver-proxy
atik,2213,0.0,0.1,478160,13308,?,Ssl,10:29,0:01,/usr/libexec/gsd-sharing
atik,2217,0.0,0.0,327076,10748,?,Ssl,10:29,0:00,/usr/libexec/gsd-smartcard
atik,2218,0.0,0.0,330772,11088,?,Ssl,10:29,0:00,/usr/libexec/gsd-sound
atik,2219,0.0,0.0,396876,9372,?,Ssl,10:29,0:00,/usr/libexec/gsd-usb-protection
atik,2221,0.0,0.2,352536,25964,?,Ssl,10:29,0:00,/usr/libexec/gsd-wacom
atik,2226,0.0,0.0,327340,10748,?,Ssl,10:29,0:00,/usr/libexec/gsd-wwan
atik,2227,0.0,0.2,353580,27152,?,Ssl,10:29,0:00,/usr/libexec/gsd-xsettings
atik,2239,0.0,0.2,588796,26104,?,Sl,10:29,0:00,/usr/bin/anydesk
atik,2260,0.0,0.1,351160,14960,?,Sl,10:29,0:00,/usr/libexec/gsd-printer
atik,2271,0.0,0.0,231804,5964,?,Sl,10:29,0:00,/usr/libexec/gsd-disk-utility-notify
atik,2275,0.0,0.4,653208,57120,?,Sl,10:29,0:00,/usr/libexec/evolution-data-server/evolution-alarm-notify
atik,2319,0.0,0.0,175524,9012,?,Sl,10:29,0:00,/usr/libexec/ibus-engine-simple
atik,2328,0.1,1.3,1253536,162956,?,Sl,10:29,0:08,/snap/snap-store/638/usr/bin/snap-store
atik,2363,0.0,0.0,540236,6788,?,Ssl,10:29,0:00,/usr/libexec/xdg-document-portal
atik,2476,0.0,0.0,619388,11044,?,Ssl,10:29,0:00,/usr/libexec/xdg-desktop-portal
atik,2480,0.0,0.2,501444,26712,?,Ssl,10:29,0:01,/usr/libexec/xdg-desktop-portal-gtk
atik,4661,0.0,0.0,171732,6932,?,Ssl,10:30,0:00,/usr/libexec/gvfsd-metadata
atik,4664,0.0,0.2,428064,29668,?,Sl,10:30,0:00,update-notifier
atik,4809,0.5,0.7,1617032,95456,?,Sl,10:31,0:35,/usr/bin/nautilus
atik,5145,0.9,1.3,38741624,162432,?,SLsl,10:31,0:56,/snap/code/121/usr/share/code/code
atik,5147,0.0,0.3,33933704,47100,?,S,10:31,0:00,/snap/code/121/usr/share/code/code
atik,5148,0.0,0.3,33933704,47260,?,S,10:31,0:00,/snap/code/121/usr/share/code/code
atik,5161,0.0,0.0,33585760,2204,?,Sl,10:31,0:00,/snap/code/121/usr/share/code/chrome_crashpad_handler
atik,5187,0.0,0.5,33995452,64328,?,Sl,10:31,0:00,/snap/code/121/usr/share/code/code
atik,5218,3.6,0.8,34103436,99640,?,Sl,10:31,3:43,/snap/code/121/usr/share/code/code
atik,5258,0.3,1.1,46800472,142880,?,Sl,10:31,0:20,/snap/code/121/usr/share/code/code
atik,5276,0.2,0.7,38350728,85492,?,Sl,10:31,0:13,/snap/code/121/usr/share/code/code
atik,6307,4.7,2.5,57307564,300352,?,Sl,10:39,4:25,/snap/code/121/usr/share/code/code
atik,6331,0.3,1.5,38370628,182676,?,Sl,10:39,0:21,/snap/code/121/usr/share/code/code
atik,6348,0.0,0.6,38338304,74936,?,Sl,10:39,0:01,/snap/code/121/usr/share/code/code
atik,6365,0.0,1.0,38288500,121804,?,Sl,10:39,0:04,/snap/code/121/usr/share/code/code
atik,6366,0.7,1.3,38321284,157952,?,Sl,10:39,0:41,/snap/code/121/usr/share/code/code
atik,6406,0.0,0.0,23720,9168,pts/2,Ss,10:39,0:00,/usr/bin/bash
atik,6409,0.0,0.7,38321284,93420,?,Sl,10:39,0:04,/snap/code/121/usr/share/code/code
atik,16663,0.0,0.9,38288500,107900,?,Sl,10:42,0:02,/snap/code/121/usr/share/code/code
atik,16665,0.0,0.8,38288500,107396,?,Sl,10:42,0:01,/snap/code/121/usr/share/code/code
atik,18639,2.3,3.2,3884736,385520,?,Sl,10:43,2:07,/usr/lib/firefox/firefox
atik,18707,0.0,0.3,208600,46112,?,Sl,10:43,0:00,/usr/lib/firefox/firefox
atik,18720,0.0,0.9,2445356,110432,?,Sl,10:43,0:01,/usr/lib/firefox/firefox
atik,18741,0.0,1.1,2447588,132556,?,Sl,10:43,0:01,/usr/lib/firefox/firefox
atik,18803,0.0,0.3,206548,38720,?,Sl,10:43,0:00,/usr/lib/firefox/firefox
atik,18831,3.3,1.3,2542420,165424,?,Sl,10:43,2:59,/usr/lib/firefox/firefox
atik,18878,0.0,0.6,2397896,79824,?,Sl,10:43,0:00,/usr/lib/firefox/firefox
atik,18948,0.0,0.6,2397896,78888,?,Sl,10:43,0:00,/usr/lib/firefox/firefox
atik,19306,0.0,0.6,2397896,78600,?,Sl,10:43,0:00,/usr/lib/firefox/firefox
atik,21399,0.0,0.0,396816,8440,?,Sl,10:47,0:00,/usr/libexec/gvfsd-network
atik,21414,0.0,0.0,323960,8256,?,Sl,10:47,0:00,/usr/libexec/gvfsd-dnssd
atik,21676,5.7,3.5,34632364,429028,?,SLl,10:49,4:47,/opt/google/chrome/chrome
atik,21681,0.0,0.0,17200,580,?,S,10:49,0:00,cat
atik,21682,0.0,0.0,17200,580,?,S,10:49,0:00,cat
atik,21684,0.0,0.0,33577208,3476,?,Sl,10:49,0:00,/opt/google/chrome/chrome_crashpad_handler
atik,21686,0.0,0.0,33567972,2972,?,Sl,10:49,0:00,/opt/google/chrome/chrome_crashpad_handler
atik,21692,0.0,0.4,33862440,59136,?,S,10:49,0:00,/opt/google/chrome/chrome
atik,21693,0.0,0.4,33862432,59264,?,S,10:49,0:00,/opt/google/chrome/chrome
atik,21694,0.0,0.0,33568372,4780,?,S,10:49,0:00,/opt/google/chrome/nacl_helper
atik,21697,0.0,0.1,33862452,15952,?,S,10:49,0:00,/opt/google/chrome/chrome
atik,21721,4.2,1.5,34177136,189040,?,Sl,10:49,3:33,/opt/google/chrome/chrome
atik,21724,1.5,1.0,33942680,125260,?,Sl,10:49,1:15,/opt/google/chrome/chrome
atik,21735,0.0,0.4,33912988,53392,?,Sl,10:49,0:01,/opt/google/chrome/chrome
atik,21829,0.0,0.8,1184758776,103736,?,Sl,10:49,0:00,/opt/google/chrome/chrome
atik,21839,0.0,0.7,1184756592,92548,?,Sl,10:49,0:00,/opt/google/chrome/chrome
atik,21846,0.0,0.8,1184756720,105620,?,Sl,10:49,0:00,/opt/google/chrome/chrome
atik,21884,0.0,0.9,1184757068,108156,?,Sl,10:49,0:00,/opt/google/chrome/chrome
atik,21896,0.4,0.8,1184756592,106948,?,Sl,10:49,0:22,/opt/google/chrome/chrome
atik,21905,0.0,0.7,1184756592,90080,?,Sl,10:49,0:00,/opt/google/chrome/chrome
atik,21976,2.2,3.0,1184822704,370308,?,Sl,10:49,1:52,/opt/google/chrome/chrome
atik,21997,2.6,2.1,1185870392,262556,?,Sl,10:49,2:10,/opt/google/chrome/chrome
atik,22276,0.0,0.6,1184756588,79252,?,Sl,10:49,0:00,/opt/google/chrome/chrome
atik,22422,0.1,0.6,34188492,79336,?,Sl,10:49,0:08,/opt/google/chrome/chrome
atik,24807,0.0,0.4,873248,53784,?,Sl,11:15,0:00,/usr/bin/gnome-calendar
atik,24808,0.0,0.3,883108,41112,?,SLl,11:15,0:00,/usr/bin/seahorse
atik,25157,0.0,0.4,822556,50120,?,Ssl,11:16,0:02,/usr/libexec/gnome-terminal-server
atik,25164,0.0,0.0,23680,9228,pts/0,Ss+,11:16,0:00,bash
atik,26050,2.6,2.0,2273300,244204,?,Sl,11:22,1:22,/usr/bin/vlc
atik,27105,0.0,0.0,6044,3728,?,S,11:54,0:00,/usr/bin/ssh-agent
atik,27500,12.7,1.7,1185840544,203936,?,Sl,11:58,1:58,/opt/google/chrome/chrome
atik,28437,0.0,0.5,1184748392,69064,?,Sl,12:10,0:00,/opt/google/chrome/chrome
atik,28655,0.0,0.0,96868,4908,?,Sl,12:13,0:00,/usr/lib/libreoffice/program/oosplash
atik,28670,21.6,1.9,1145196,237060,?,Sl,12:13,0:06,/usr/lib/libreoffice/program/soffice.bin
atik,28709,0.0,0.3,329756,40884,pts/2,Sl+,12:13,0:00,node
atik,28716,0.0,0.0,2620,600,pts/2,S+,12:13,0:00,/bin/sh
atik,28717,0.0,0.0,20472,3448,pts/2,R+,12:13,0:00,ps
atik,28718,0.0,0.0,18020,664,pts/2,S+,12:13,0:00,grep